Year,base,ac_m_youtube_n_clk,ac_m_linkedin_l_clk_adstk,ac_m_google_n_clk_alpha1_beta0,ac_m_trade_desk_l_clk_alpha1_beta1,ac_m_fb_n_imp,ac_branch_prospect_visits,ac_gqv_n_actra_gix,ac_cust_sat_score,ac_ec_psavert,ac_trend,ac_s_index_weekly,ac_web_new_customer_logins
2020,33141.77627745728,184.64252507387314,915.5913250278206,5599.760511648335,1143.1029322968795,2073.513319537467,762.4987379061859,5344.2164827185425,20.36352558641687,527.1218106872778,857.4648600646804,3623.793598121928,300.1540938733147
2021,33141.77627745728,178.3686955067439,1471.8896267983746,3077.010272963401,872.214127404664,1562.4866663898486,1562.911709663841,4381.364783107935,29.31355555778962,349.4970817222864,2599.8122031678336,3726.4955174078927,1494.859482852111
2022,33141.77627745728,151.29160016489018,1840.1497739030322,2493.9235965549497,426.9279399213004,128.3784628555104,1485.0542191162442,3326.1777353096777,4.389436747495042,9.124578692093925,4485.537434720196,3625.7873832305995,26.481561326731992
