x_dt,x_geo,base,ac_m_linkedin_l_clk,ac_m_fb_n_imp_adstk,ac_m_bing_l_imp_adstk,ac_m_trade_desk_l_clk_adstk_alpha1_beta1,ac_m_google_n_clk_alpha0_beta0,ac_m_youtube_n_clk_alpha0_beta0,ac_branch_prospect_visits,ac_ec_tbill_3m,ac_branch_employee_count,ac_ec_psavert,ac_trend,ac_s_index_weekly,ac_web_new_customer_logins
2020-01-05,lon,1911.178062515673,48.92153686514795,0.0,0.0,0.0,40.37840183982746,9.901033046324047,67.45846467034477,33.098305913800125,19.12577228738526,22.347199006604864,0.0,373.60108129239205,32.9901425625005
2020-01-12,lon,1911.178062515673,6.026159554246361,43.88511372553054,3.8926499550778475,113.31910065532904,21.87529754856396,8.460878133276982,117.30300747185554,26.161086643094595,12.093694154123202,18.315393421153427,0.3452805250519373,208.70239752989238,37.4418781671311
2020-01-19,lon,1911.178062515673,20.107080189351088,117.46520289922887,21.930504057984262,220.0395481809249,212.43236190343123,8.30301741711078,143.0486622784741,31.90291987137524,14.74801719101193,23.13040661987655,0.8421253347888635,269.42826892188975,55.443822618879445
2020-01-26,lon,1911.178062515673,30.25002757818258,119.56886100834514,72.76463139288023,224.81838785194378,34.4510733959791,7.7726216449527445,52.50951982874324,25.76364818220543,11.909967107282519,19.321418850364537,1.0201051003307602,464.8479280494854,40.823747493631544
2020-02-02,lon,1911.178062515673,62.942329628484885,122.1020193755954,139.24679610416737,253.5994134255007,161.43294992639557,12.656140035135586,69.17683064091327,23.558353221578475,11.20740691002878,18.722666097079912,1.2799064679657393,327.826085826543,41.07103982493808
2020-02-09,lon,1911.178062515673,31.01506608552272,125.62139878890103,158.21455149280834,233.30843929988177,41.13726811055379,7.449943695051209,87.16926601343431,18.38590669033099,13.730090890237332,18.507837074096127,1.5680016151146456,424.88262783750656,52.8315398908884
2020-02-16,lon,1911.178062515673,25.171829092633804,111.07560585232858,125.35678359148291,188.52034242154332,47.16611772469818,6.958668135252569,34.95562191999303,12.345674786466539,12.388238975508811,16.841849748016678,1.697711592208253,323.53622244979675,46.807271194397465
2020-02-23,lon,1911.178062515673,15.279886581737994,135.99139411207324,189.3199776936767,222.1559656187808,123.54704958280307,9.512706701353892,97.34159695265406,10.027850052185048,15.332341714966487,21.021100107906676,2.451374245855277,386.5001427058401,48.34055141449333
2020-03-01,lon,1911.178062515673,38.191737535063666,141.27368710854006,246.73121971592317,227.70688492500022,137.40814316660885,22.74299050565259,76.63091720083905,4.834124221319577,15.518813578938884,21.45564150482129,2.835643254043299,426.22845182084427,62.263682946732
2020-03-08,lon,1911.178062515673,6.997022230847858,159.93884210341446,207.3468109415344,266.7046582828763,104.96870005782225,13.370041262748979,44.85537050846281,4.330638196622824,15.896700406752146,25.83497107527431,3.267778327302123,431.4609910295658,56.849413061102595
2020-03-15,lon,1911.178062515673,72.61285217354923,279.9362125950617,220.7199039576914,491.8594841335575,227.6932886535102,35.71115115408198,180.12171155607942,5.416606496654461,23.212713563621485,43.35669707230774,5.30186910631922,919.1334973955338,105.74594962635918
2020-03-22,lon,1911.178062515673,145.64304627672584,277.5180529756053,214.92869593123714,548.0705988881585,214.23211310167943,30.892799116527087,0.0,3.901069237849924,20.080721956465776,42.37877714199297,5.045161781277684,855.250386235489,84.88051484131822
2020-03-29,lon,1911.178062515673,150.84110917329815,266.4742457743752,217.2083309962884,563.2447733587363,199.11630546908802,28.79693787073392,0.0,2.9049473045119996,18.718384837794357,44.045152850671464,5.1304174853849185,608.7040010170781,87.63733134636605
2020-04-05,lon,1911.178062515673,36.133982366704686,198.44250616255223,181.84791986420822,398.9574966955422,174.08845678310277,16.9650100539422,0.0,2.068317546044638,15.107511929850595,46.73876936101182,4.485794636680379,273.2362654648215,36.74990661986561
2020-04-12,lon,1911.178062515673,25.097334917921284,181.97004714983817,201.6226050616024,287.4975771330424,125.97077697780509,12.365417859800765,0.0,2.048479953055367,12.21017837107802,64.2256125611646,4.880486841573322,286.6802814240363,47.253139233409414
2020-04-19,lon,1911.178062515673,37.63844477909539,206.3097828313353,245.64491016354626,279.00989307350255,77.09590017428954,10.63505091486033,12.586791156015428,2.34675599500355,14.274389591001347,94.96512432881006,6.113105726792902,298.84306232880783,63.35872642126676
2020-04-26,lon,1911.178062515673,44.587078264347085,174.08715832089197,216.72769025081467,281.9575798213688,37.24254995235056,10.126842385234205,0.0,2.048375197879444,9.539852931780498,102.33920607456709,5.810499939952725,154.77388075923594,39.581223585904326
2020-05-03,lon,1911.178062515673,23.161686937493,109.34232262139057,142.0980489695717,187.78129166573424,43.426011293635476,8.412425184084736,0.0,1.4068996920007644,8.715449970481506,73.15865930237162,4.230111722676385,105.5592859910492,29.52974413383785
2020-05-10,lon,1911.178062515673,20.554024547504397,120.75501270382358,167.32944291370023,191.41913134175238,36.412953972493995,4.229818744244574,0.0,1.691978764657647,9.883328848648919,81.7286634269237,5.0791244388516015,80.12691515898638,15.611542622739664
2020-05-17,lon,1911.178062515673,23.214928568848425,141.5677141998625,211.69954551718155,208.2922133578389,37.68850155734037,8.663167607732573,0.0,2.0753233819053856,11.468122746417299,87.95513159003248,6.220983304424546,4.672934509256373,16.30337114348681
2020-05-24,lon,1911.178062515673,22.065110112620523,122.58545369002917,214.2892536822407,156.31857419103463,43.490339310731635,9.577506179425487,0.0,1.9905515961821318,10.436280321933335,73.78155635228002,5.959211971501315,39.298854703665846,20.029245372682073
