Year,ac_m_google_n_clk,ac_m_linkedin_l_clk_adstk,ac_m_trade_desk_l_imp_alpha0_beta1,ac_m_youtube_n_clk_alpha1_beta1,ac_gqv_n_retire_gix
2020,9857.580172090482,3645.8901887917036,1657.902844812547,5171.457382902381,10396.444971916919
2021,5696.717239697298,7121.519486314905,1126.799475592284,5132.051077901673,15277.18828100787
2022,4200.973542554002,8518.667343920932,1401.3359035438568,4161.703360096035,13825.595410399204
