x_dt,x_geo,base,ac_m_google_n_clk,ac_m_linkedin_l_clk_adstk,ac_m_trade_desk_l_imp_alpha0_beta1,ac_m_youtube_n_clk_alpha1_beta1,ac_gqv_n_retire_gix
2020-01-05,osl,892.5139315285763,21.848779360632058,0.0,9.483257655287018,48.72299003444671,298.4310414210579
2020-01-12,osl,892.5139315285763,27.063250551562408,13.787946989773978,15.342548102075966,61.19674318879207,397.09557963921935
2020-01-19,osl,892.5139315285763,225.0602798081592,17.12358351312278,22.88313077481794,36.049018263557635,321.3700561117661
2020-01-26,osl,892.5139315285763,80.69300988789843,27.673722664451542,12.886407769450367,55.425204989923394,357.80772315969995
2020-02-02,osl,892.5139315285763,186.89243254446205,27.782000467778932,16.41328812411845,55.686462588523305,273.7118847465409
2020-02-09,osl,892.5139315285763,45.75615264664705,39.12311241102468,29.999030000046655,66.85207570153163,297.75569771217357
2020-02-16,osl,892.5139315285763,80.29577891416167,35.90092413382394,16.939907791974303,63.28808457789355,309.0613730535702
2020-02-23,osl,892.5139315285763,178.77845179068967,26.930701396650942,11.099526703486868,41.78079245206494,265.89659612853126
2020-03-01,osl,892.5139315285763,174.2193897375883,37.13587894919277,26.902895877191735,116.19992823257202,316.02797567487903
2020-03-08,osl,892.5139315285763,186.6747494226667,57.34496220656711,54.45731404566822,131.0512597751616,300.9577830213599
2020-03-15,osl,892.5139315285763,286.0421671462295,66.80654956626593,81.91626281031157,213.140286043585,492.58080290503153
2020-03-22,osl,892.5139315285763,399.85410869018943,104.68824877962192,88.88003117719775,247.9920638037669,320.07161602064735
2020-03-29,osl,892.5139315285763,371.0543328426239,126.48645993143252,51.196592897944036,201.6175474289788,219.13113537044453
2020-04-05,osl,892.5139315285763,283.17888733396705,91.83997715691447,27.091565691927563,135.2210214265377,145.154616862077
2020-04-12,osl,892.5139315285763,207.6423331995742,64.39127788844884,23.10703062290116,96.66478621819549,174.68064054230388
2020-04-19,osl,892.5139315285763,178.76147522985346,55.65856783818782,31.845432364590337,108.39489299547985,269.82570004331245
2020-04-26,osl,892.5139315285763,87.62898756920298,70.0510552821187,37.8766941148998,93.07722137155955,213.85211013364258
