x_dt,x_geo,base,ac_m_trade_desk_l_clk,ac_m_linkedin_l_clk,ac_m_google_n_imp_adstk,ac_m_youtube_n_imp_adstk,ac_m_bing_l_imp_adstk,ac_s_index_weekly,ac_gqv_n_actra_gix,ac_ec_is_bull,ac_ec_psavert,ac_web_new_customer_logins,ac_trend
2020-01-05,bcn,5492.62608160036,253.88291887079075,12.017100443075114,0.0,2.1109727649507275,0.0,63.614832930422914,149.0212900207632,159.035031573534,37.48583138895602,1.2059404071476048,0.0
2020-01-12,bcn,5492.62608160036,139.00800208196262,4.0403892890308,157.34928586477253,13.632920355459408,0.0,50.36400662799672,403.5252429950317,148.75898410927508,45.10824110752359,3.196661445131023,9.390184523456817
2020-01-19,bcn,5492.62608160036,466.62641647764053,26.597376937913406,563.2487237143725,13.556881986263974,0.0,78.85583409721794,628.6033669963548,349.6063373062599,72.77031418140963,4.252992066583046,29.255674635624477
2020-01-26,bcn,5492.62608160036,100.79626529780721,14.441724312638323,418.80312970858245,8.801228841419801,0.0,154.449533400482,325.47717300341765,207.25636407730613,38.97417250988805,2.652397710376335,22.721929537722513
2020-02-02,bcn,5492.62608160036,115.38250069274602,18.16652587767069,267.90973191933307,14.426367844156717,0.0,67.17182939344032,188.22716936564728,75.83143782878578,27.07818601977908,1.7396225803206409,20.440546877760834
2020-02-09,bcn,5492.62608160036,355.0956320061813,36.613592060150566,527.2125628919819,30.982632860575375,0.0,168.4930847598008,607.9073333346707,182.41768553595125,58.80484319735962,5.83342414835231,55.013127604617175
2020-02-16,bcn,5492.62608160036,1654.8798689878272,174.36967166416323,3402.1106673043737,154.41217270561557,566.6081024008603,1770.1802795528406,4957.8864271250395,2103.351874269774,483.6934944338046,46.4792245473645,538.4021354079767
2020-02-23,bcn,5492.62608160036,1887.8707314481805,185.79177958370326,3025.8058375735864,113.457198928963,1607.8380539066998,1470.34433432076,4918.181072163057,2023.1742456161603,483.888078898749,42.91720246345447,623.1053834963225
2020-03-01,bcn,5492.62608160036,3042.062669934103,172.9145595976154,3438.459278695756,292.86635864836006,1577.316832289654,1511.1651756299748,6548.668279749053,1022.567066761031,417.68022290071883,45.11355597523331,609.5599182181419
2020-03-08,bcn,5492.62608160036,4527.033151304763,63.07953807897089,3214.871165625034,475.16664325460624,966.9102917442242,1428.528516989808,5454.078216097606,1438.885531411817,440.3672036395947,29.387295881549075,615.0663643716664
2020-03-15,bcn,5492.62608160036,6979.855537731571,349.9349906810805,3424.0745448854314,440.0310238563222,1137.0112945871615,2453.4559646862854,13118.594182313736,1050.4080097410924,608.6676148841012,61.447515017824394,821.8932400150356
2020-03-22,bcn,5492.62608160036,6582.148260170981,651.3856291554441,3943.0709766536847,434.4466911407792,1552.1931784665994,2383.8941170073294,12371.105878370156,1319.2218820122735,648.5451883658906,48.793544021768895,852.5685730347334
2020-03-29,bcn,5492.62608160036,5475.229860232971,500.11905783584086,4695.786712538089,707.2756844378217,1273.4440414834796,1359.6125588051282,10290.659771251703,1011.4533349643492,601.4999412313687,45.62862082095856,773.6643347979297
2020-04-05,bcn,5492.62608160036,2438.863895875065,254.49219157938654,3963.463346309687,675.9198758686339,1057.1638079900542,880.8517949165655,7024.5715148168065,921.8239364689026,668.3759872315618,20.5017159773413,708.3458513656378
2020-04-12,bcn,5492.62608160036,2568.7976456095544,103.44682043452927,2958.862274606468,439.4203376523157,1590.9474866570142,1166.485557161934,6298.110279116399,1151.9117612352904,1006.870324194196,34.649593983841825,844.8718377480972
2020-04-19,bcn,5492.62608160036,2560.0252795940814,231.69947875331331,1956.3724993815006,156.35558217446507,1831.479449477142,1004.3874259093215,6913.828514006736,1036.6363213572888,1250.8278793819056,33.646932284291815,889.1145560795939
2020-04-26,bcn,5492.62608160036,2233.107685670088,192.23260961304175,1674.2521015611385,93.29826376250124,1520.9764781922624,877.8206989426832,8477.879567821397,440.7639534048933,1355.5061020993294,24.700042287404212,849.8364150449011
2020-05-03,bcn,5492.62608160036,1479.7488419243173,212.06818026739856,1667.736505125774,109.40056002889881,1166.793020904449,341.08176447859995,6143.396874611564,646.6288897861591,1268.794116898495,26.62325102198973,810.101913351997
2020-05-10,bcn,5492.62608160036,2425.257168366342,102.03157594942772,1982.8616940871734,158.52071362614285,1477.2407596865185,483.69220220805215,5080.071050704377,397.1969370023923,1447.0236619807622,37.47074014359611,993.0074146448569
2020-05-17,bcn,5492.62608160036,2579.184323106233,150.5119834109478,1963.5633130502229,245.00531607584446,2350.757700342848,383.5519024861706,5348.56746377602,427.71012154055467,1513.9246043642534,33.196969238544725,1182.400221008002
2020-05-24,bcn,5492.62608160036,1781.7222278839472,128.65242894368208,1718.9305380103326,324.5603703217251,2914.9410755587874,534.1531690490393,5194.0078347668305,731.5607694865168,1355.1975118014002,41.98278931174252,1208.6652032656402
2020-05-31,bcn,5492.62608160036,2738.79685305691,244.57002709292502,1370.6177742134366,398.7046034788686,2673.589951852223,187.28348535598568,3795.5045994738857,816.3036449637408,1057.333644457053,30.714754659434288,1081.954579795177
2020-06-07,bcn,5492.62608160036,3266.5162567356006,377.27890208975595,1484.0825847123317,529.2528393771864,2809.9373329695177,685.7708657555506,5407.558220630216,1010.341666918334,1135.7986951200203,36.921126120988454,1291.9154279701386
2020-06-14,bcn,5492.62608160036,3867.2972791132843,591.1678592033945,1849.4171289112317,435.0452965184653,2579.816835576076,1028.5680868233123,8076.29525280295,1013.7326017476314,1093.1889470538624,36.47699200107502,1375.367638648354
