x_dt,x_geo,base,ac_m_google_n_clk_alpha1_beta0,ac_m_trade_desk_l_clk_alpha1_beta0,ac_m_linkedin_l_clk_alpha0_beta0,ac_m_fb_n_clk,ac_m_youtube_n_clk,ac_branch_prospect_visits,ac_web_new_customer_logins,ac_ec_tbill_3m,ac_ec_is_bull,ac_ec_psavert,ac_branch_employee_count
2020-01-05,fra,-101.07881411256687,18.217394264965197,190.65079199593728,9.614106435214795,0.0,5.86351957652278,0.0,22.7827253883203,142.8910845999651,36.46725089920145,59.94208350719859,9.649857445241448
2020-01-12,fra,-101.07881411256687,17.711700031212292,140.7211942734363,3.1070583071193787,0.0,6.99643050513333,36.40255486616255,37.81608865726349,152.98039550992755,31.468676099526167,66.54349741958968,10.331218443196114
2020-01-19,fra,-101.07881411256687,79.01457720834297,159.40721736581017,8.283742789432932,0.0,2.8766713029596698,40.51780361663884,27.56969347084409,85.13728837517169,26.421203991157345,38.35147035418921,11.499145638019984
2020-01-26,fra,-101.07881411256687,20.828282957865735,139.19888628903985,11.166666668995736,0.0,4.199463889212116,27.711721379916302,38.14381474683761,116.45748801277503,41.379472950428884,54.26358020047871,15.729437017016883
2020-02-02,fra,-101.07881411256687,78.76259961797676,150.75204065914536,18.174255808262266,0.0,6.495953333756565,20.194296143877704,25.698605160836372,82.46613221293269,16.352457222293488,40.7199991059896,11.462474847496127
2020-02-09,fra,-101.07881411256687,23.900093712908113,207.3626253569381,8.494867696549308,0.0,4.3186057567412215,15.799730260710541,62.04206076845684,77.067221296493,21.441199164244786,48.20029401038437,13.452116089140587
2020-02-16,fra,-101.07881411256687,27.07851154407406,173.35533037827517,9.009404567143456,0.0,3.2639227403029234,61.75616113878141,54.908440108337615,52.7478798218069,27.878959446555648,44.70842131782689,12.371783049462824
2020-02-23,fra,-101.07881411256687,73.19078859743897,129.88737498352393,5.997366518559201,0.0,4.708231070939648,27.30073476444332,64.80451764934625,43.36015304441708,33.859589613941935,56.47390077064275,15.496157099313743
2020-03-01,fra,-101.07881411256687,52.83813255984102,264.4083343701562,10.296765614014959,0.0,9.679729315830947,57.10168524507856,53.05341194274748,16.19782165566324,15.681337783910115,44.667297954931406,12.154297670392925
2020-03-08,fra,-101.07881411256687,51.36056150574578,360.0218773555039,2.683869904861787,0.0,7.520477903847289,67.43391103762092,62.91582220596587,16.729064605656887,29.053196641924558,62.00648411461854,14.353548836821409
2020-03-15,fra,-101.07881411256687,129.45279319841734,624.9901209822428,30.920870753547543,0.0,20.908543606709035,74.44110275509544,129.68525580428306,25.309440914547963,31.149006162590783,125.8695925376572,25.352087397475675
2020-03-22,fra,-101.07881411256687,125.83906125607332,642.4849501646877,54.80490547764417,0.0,22.159404433362763,28.921079407022155,138.35309368977192,20.46572913477889,40.292526341800524,138.1342439784196,24.62382022900554
2020-03-29,fra,-101.07881411256687,128.73868564276455,677.3682729563867,61.596275948316084,0.0,20.423173372720445,26.655058380835452,123.35935467287383,15.06807986389586,34.228112206233924,141.9473035179412,22.694497550598868
2020-04-05,fra,-101.07881411256687,120.31610711115937,297.4191757172009,33.916450125394874,0.0,14.162454293886269,0.0,74.02683349165554,10.255901714684386,28.478424482471826,143.9936292809772,17.509837895136513
2020-04-12,fra,-101.07881411256687,78.02921346610168,218.92035487707975,10.311964237108485,0.0,8.663604137703121,0.0,63.368964914104694,9.866739147956023,31.53194530981582,192.20273107125593,17.183296951441463
2020-04-19,fra,-101.07881411256687,34.93456311068438,188.92577910976894,12.338804525268724,0.0,5.258553898303027,7.917998003097531,50.216425840975994,7.586721627095179,22.66909240109941,190.74788233326584,13.482993263007923
2020-04-26,fra,-101.07881411256687,34.74211135697569,215.42487286658528,19.226642386294856,0.0,5.000559250234247,9.101483403428743,51.765575588786575,8.542198222436925,12.364076460525572,265.16216156641656,7.749133010882431
2020-05-03,fra,-101.07881411256687,17.39358484887619,117.11310068219304,10.026878374127612,0.0,3.2990587723374953,0.0,41.178313209075796,5.524865741820397,13.044973146211237,178.49814333256768,4.999896005357408
2020-05-10,fra,-101.07881411256687,25.068864731266068,148.18603043405884,7.93949911058025,0.0,2.4975089899414513,29.533584002320566,44.409866541346396,7.366754468779264,8.702436262156228,221.087940723904,6.2863288482137625
2020-05-17,fra,-101.07881411256687,23.845553651464556,153.9515101738546,11.909973040920962,0.0,5.701204807665466,0.0,43.9625915035409,10.296064596978553,10.98365421760036,271.11655225420924,8.311709866332203
2020-05-24,fra,-101.07881411256687,22.71378481570332,137.56464171804902,8.507423407710817,0.0,4.365388719406314,12.738058541613965,37.018437009261206,7.079935794542006,12.62136754502669,163.04709403995224,5.422682521301292
2020-05-31,fra,-101.07881411256687,18.18704643230214,167.42911274525292,19.70960087012851,0.0,4.34684960346002,0.0,34.54814685693968,7.620076382118037,16.91338847524631,152.7725759350414,5.552016812077886
2020-06-07,fra,-101.07881411256687,27.761759311153753,295.38535665849383,27.956084640962175,0.0,4.066869697242661,0.0,31.09243258969806,7.912961783796527,19.7886425926334,155.13277728924925,5.981929549337199
2020-06-14,fra,-101.07881411256687,75.97774053766196,365.8152563526122,34.47781424606232,0.0,7.620501534449146,16.52616426680978,27.42569705239029,8.820225742311152,22.931544278028973,172.44856391166138,7.035306190579701
2020-06-21,fra,-101.07881411256687,36.328192961129204,263.1569828465476,47.75120712377574,0.0,7.354144988666185,17.392227349945543,24.797751256277696,8.770823350972325,11.163849580263344,170.95963922280157,7.403995432187596
