x_dt,x_geo,base,ac_m_trade_desk_l_clk,ac_m_google_n_clk_alpha0_beta1,ac_m_linkedin_l_clk_alpha1_beta0,ac_m_trade_desk_l_clk_alpha1_beta1,ac_m_google_n_imp,ac_m_youtube_n_imp_adstk,ac_gqv_n_retire_gix,ac_gqv_n_actra_gix,ac_ec_is_bull,ac_branch_prospect_visits,ac_ec_psavert,ac_web_new_customer_logins,ac_branch_employee_count,ac_trend,Year
2020-01-05,edi,599.680038915667,0.5930292665264225,36.222703398193964,10.07935031971808,0.5943849855511315,21.320112845254478,1.111821911989842,79.11411248089009,20.90068385712889,23.30328675610534,0.0,4.747215030705513,4.333260232269262,0.0,0.0,2020
2020-01-12,edi,599.680038915667,2.4278795970588924,46.966259828567644,1.6079929571150389,2.4321456347135255,27.528252334788196,2.6363642497385418,90.58542168188076,53.24232750335875,20.50603673378098,16.231726270103398,5.3740511657580985,5.381284183578069,0.0,0.40021894389118273,2020
2020-01-19,edi,599.680038915667,1.986639384498002,159.20791802343643,5.929776776030188,1.9902614399239305,80.17040492568847,1.684432535552036,74.01182365510665,47.96270584618293,27.868813037291133,14.62215400744111,5.013497494490127,8.150469182599538,0.0,0.7210647760923569,2020
2020-01-26,edi,599.680038915667,1.74247946163429,72.69109338495197,13.889739823847655,1.7461486232155463,37.88823525693532,2.3667841369961105,108.27337083533997,73.95833260716736,49.20244149170486,56.3682818992592,7.996557389273261,9.528676950695468,0.0,1.667819223312088,2020
2020-02-02,edi,599.680038915667,2.1040054258590204,148.21675144232714,12.2201230188881,2.1076518109104234,48.649638568032245,2.5624985315533824,70.66902783429414,38.27273635540811,16.109004230032575,27.225381664161876,4.971487468175182,9.869084842204002,0.0,1.342569892486955,2020
2020-02-09,edi,599.680038915667,5.819098385753647,64.58551800463843,8.241716562165236,5.824814661626984,32.95798228394233,3.591819530719434,87.5997383600577,79.07003944544228,24.788698005396068,0.0,6.906328764215353,17.622791164282084,0.0,2.311415916093451,2020
2020-02-16,edi,599.680038915667,4.685161024653105,68.13032076052612,5.8832997936393046,4.6892571938777055,31.399745208984893,2.058269249387934,67.60190584225693,59.37024798206882,26.31457887360076,28.155423672833514,5.230005123481252,10.719096539840198,0.0,2.082649819182492,2020
2020-02-23,edi,599.680038915667,1.4365555586229695,113.73066776446248,6.2435667370909025,1.4393905479284006,33.15523377218675,1.763181830852261,62.32397440641964,57.86270645840684,24.867934774795735,27.440495375483106,5.140421499259349,7.547771153443735,0.0,2.3680612053808674,2020
2020-03-01,edi,599.680038915667,3.116623029493026,107.01820481044807,10.445179997156071,3.120489198451935,47.735271137892695,3.48495856703307,56.71050454695534,79.62660215940898,12.990001336335949,0.0,4.585732135783453,8.092203218716689,0.0,2.3941909466577327,2020
2020-03-08,edi,599.680038915667,4.68225456348229,150.16752178181213,5.280957542204197,4.687725512129544,38.02059020038494,8.211124647912865,53.67273485757402,104.96752890509912,28.931573851759357,17.231272032438365,7.652584927464515,11.990313298595833,0.0,3.8237789634756916,2020
2020-03-15,edi,599.680038915667,5.433742282707233,173.75391612606225,17.042396481114828,5.43963455923349,65.35598890292678,7.3176089513038525,73.16043204949236,228.9272506420363,19.15051343264448,46.975333379257805,9.590692552099098,15.539446461285923,0.0,4.633005264168472,2020
2020-03-22,edi,599.680038915667,6.509567236089113,196.96418527440807,35.84340064155341,6.515805477637867,68.7983636544918,8.644120637911252,50.90133258381065,251.48844581391793,28.018156826970564,20.641935025224,11.90444995951111,15.491641996396385,0.0,5.598555956411029,2020
2020-03-29,edi,599.680038915667,8.590195121235592,202.25591856308088,34.670119940604344,8.592345531940461,84.52494477775448,13.821516579723275,38.57385619235288,226.3161571101065,23.239693356143427,0.0,11.94448717795424,15.294532055082895,0.0,5.496194678354138,2020
2020-04-05,edi,599.680038915667,3.8425405370714687,172.12976129711123,11.304632156727592,3.8475610350796026,49.79691804735604,13.026783404535133,28.72472221152562,155.5665549357611,21.32831662465559,0.0,13.36524159502844,4.319602120067992,0.0,5.067327119413127,2020
2020-04-12,edi,599.680038915667,4.427323774276755,129.22640535050573,4.31295330282179,4.432124704205348,32.91524503720957,7.801367277331959,31.791955112767322,121.95940953097492,23.30432171748639,0.0,17.605086864876064,9.25891340784921,0.0,5.284855004027923,2020
2020-04-19,edi,599.680038915667,3.2991194143974507,95.31886486004075,6.9549636728475255,3.303885639220711,34.66312586098502,3.5240126145600486,39.94326297078625,137.00495759077876,21.461313716198053,0.0,22.380759006775747,5.7743811779176974,0.0,5.691314559825038,2020
2020-04-26,edi,599.680038915667,5.074632500294622,64.46438832838442,12.78586293354971,5.078825521516875,41.53004565395547,2.314080765596754,28.820872032003823,180.36752409907,9.796915743171542,0.0,26.039470984547556,4.206928600055741,0.0,5.840413922186559,2020
2020-05-03,edi,599.680038915667,3.368316171090838,57.56172666411296,11.026573511230653,3.3722114082632313,25.548721232604333,2.2632462472876167,15.941681380326898,120.87112305358751,13.291723279711201,0.0,22.540560969489754,4.385457241934106,0.0,5.148619924693897,2020
2020-05-10,edi,599.680038915667,3.7753142430878817,51.206927195009584,5.970696066773395,3.779861497511923,24.56081029040435,3.728094757432795,16.687977685290715,100.42031924928287,8.202946978182863,0.0,25.827776713127452,6.81847381579605,0.0,6.340762592433132,2020
2020-05-17,edi,599.680038915667,1.7716088032634547,57.20676560524713,4.35411315245016,1.7749772278088902,33.44570985790908,5.083843322976007,13.450505052695725,97.12649694969434,8.114503975001517,0.0,24.82356050245641,5.23199074045916,0.0,6.935885894371212,2020
