Year,base,ac_m_trade_desk_l_clk,ac_m_google_n_clk_alpha0_beta1,ac_m_linkedin_l_clk_alpha1_beta0,ac_m_trade_desk_l_clk_alpha1_beta1,ac_m_google_n_imp,ac_m_youtube_n_imp_adstk,ac_gqv_n_retire_gix,ac_gqv_n_actra_gix,ac_ec_is_bull,ac_branch_prospect_visits,ac_ec_psavert,ac_web_new_customer_logins,ac_branch_employee_count,ac_trend
2020,31183.36202361468,247.24940042649604,6621.6798621484195,877.6906565802155,247.45241702828517,2724.0954152819636,324.010426540782,2131.686375438781,5124.473195039675,1140.763746583757,409.5299543449338,722.0050453192578,295.61222110138976,0.0,559.3892605513607
2021,31183.36202361468,208.56271583975152,4103.485538025936,1469.9831317569776,208.80381749207976,2299.8835549620635,379.02003220831034,2726.518218746289,4247.621027147636,1540.3286444787022,695.7136701436698,498.50407789951436,1388.8532453747764,473.90902357003785,1687.4512787395734
2022,31183.36202361468,99.49175996730628,3366.8055083547792,1743.729107095868,99.6538221250199,2424.5544356383416,537.1169321895312,2670.6163894320575,3165.6016660480454,601.5278476863213,988.2914195238279,13.213308125377097,71.55581517157243,1258.552476707454,2867.927488319817
