x_dt,x_geo,base,ac_m_bing_l_imp,ac_m_bing_l_clk_alpha0_beta0,ac_m_google_n_clk_alpha0_beta0,ac_m_trade_desk_l_clk_alpha1_beta0,ac_trend,ac_gqv_n_actra_gix,ac_web_new_customer_logins
2020-01-05,muc,1782.7919592430046,76.99378501062442,3.9808613629670684,224.64045240676592,71.61203189099376,0.0,155.40121192490076,22.579698160743675
2020-01-12,muc,1782.7919592430046,0.016670846779248145,0.0,119.5129258503606,78.5910995896777,6.07558977521997,262.9021773807944,36.10957731416334
2020-01-19,muc,1782.7919592430046,71.62477545774955,2.3555103899090404,629.7567028047675,76.49360021678285,10.148555696250826,219.57353018604894,30.2553660054866
2020-01-26,muc,1782.7919592430046,264.8330739710106,8.32051169474064,230.3611132327007,99.9610799751922,26.12547904135393,376.832844173805,40.77393866819237
2020-02-02,muc,1782.7919592430046,176.07260874052838,8.441265286529624,603.1728801562647,58.20690193924305,19.440312557122837,180.26117707980396,24.612894997502845
2020-02-09,muc,1782.7919592430046,148.2357773647835,4.569358664049821,250.84178507871863,107.70745871603488,32.68566995150824,363.6952228080561,47.47276817384396
2020-02-16,muc,1782.7919592430046,178.8473593931021,5.13695755691066,329.4449153628819,73.48279618436891,31.986398567298263,296.5953268159954,38.714286876438315
2020-02-23,muc,1782.7919592430046,219.86064658431948,8.926464206527946,406.5213233182678,57.25326429953054,34.417167552140896,273.5440646765861,26.685110119622717
2020-03-01,muc,1782.7919592430046,160.32145248770098,7.009907815806582,442.61588740283776,144.21842466671558,39.69757937882522,429.4471994310323,34.8975895740769
2020-03-08,muc,1782.7919592430046,107.71869274590543,4.273623011450682,332.78502986385155,124.50405811885439,52.7724014204537,471.21097881889483,45.94325677758458
2020-03-15,muc,1782.7919592430046,240.990622342097,9.745244391932943,623.5764748492447,171.5581175867101,60.04758632393565,965.10952881528,65.1804664477957
2020-03-22,muc,1782.7919592430046,196.143488819938,7.052860217324507,650.1262058147721,176.2455076465861,66.70586690590585,974.6583232031751,63.275788149294236
