x_dt,x_geo,base,ac_m_fb_n_imp,ac_m_google_n_imp,ac_m_linkedin_l_clk,ac_m_youtube_n_clk_alpha0_beta1,ac_m_google_n_clk_alpha1_beta0,ac_m_trade_desk_l_clk_alpha1_beta1,ac_m_linkedin_l_clk_alpha1_beta1,ac_branch_prospect_visits,ac_gqv_n_actra_gix,ac_ec_psavert,ac_ec_is_bull,ac_trend,ac_s_index_weekly
2020-01-05,trn,773.0717143737892,3.5828034371049915,11.408075822882061,2.6976369272489564,8.80394001355882,4.858786600917712,11.996932779800781,2.739548644067193,0.0,15.013404885395378,1.567992655685911,11.080985071570616,0.0,52.17817878797838
2020-01-12,trn,773.0717143737892,27.341610931407697,9.170676508172637,0.22238222779284356,11.784297311609244,9.625387088689928,32.48939767082109,0.22611921368585092,42.55673262216035,45.792831675563896,2.125341309448669,11.675209649586552,0.3181042366006173,86.60019518067142
2020-01-19,trn,773.0717143737892,39.69167713073804,71.93336624988409,3.9523328724778537,9.443288954645807,71.03530901787474,41.92941600282437,4.013882551242949,36.76692105188649,52.75033500672027,2.535413319986252,20.290021522205592,0.7328703831474875,85.85345156257671
2020-01-26,trn,773.0717143737892,28.15174128874435,24.76833690062925,3.0922733389473414,9.24501019213483,10.930559233087635,40.15420005279552,3.1406176627180655,50.27092824583643,43.274904129029956,2.1514857838834907,19.058036144094636,0.9018396442128559,158.78835301009656
2020-02-02,trn,773.0717143737892,30.200106313063696,34.09943301344358,11.383888456199637,13.973092720131229,58.69081850160062,48.52892466962594,11.524015583900717,70.88101697158196,37.357200612110965,2.231298015935602,10.408688128010562,1.211024861782032,119.43877777882426
2020-02-09,trn,773.0717143737892,39.664794240198134,29.067153514603238,6.665607390675819,11.47712692103674,15.007533783980401,43.48322683276922,6.762797580632383,88.34826551611623,65.1884189516802,2.6181357462731922,13.528657399964343,1.7610347928736874,123.35553295540721
2020-02-16,trn,773.0717143737892,26.64560868106993,18.302232565669176,3.3409864358504935,8.44634797073863,17.108418297183768,29.487483304314953,3.3928121318692943,39.60613916227205,54.794403242226714,2.2195036942755264,16.07704592587578,1.776294356256818,73.73100985860765
2020-02-23,trn,773.0717143737892,24.856209713081657,19.777558658320828,3.654263367461096,10.44843495166164,37.62183750365946,20.306327898634187,3.710659336605764,51.204507364313436,56.67243480298481,2.315038824742991,16.123352072382154,2.143371223383373,71.09428990897939
2020-03-01,trn,773.0717143737892,40.123447256635565,25.549381084140574,4.372524608218216,18.802202088321064,51.4380206745531,33.77803353669341,4.438221897458983,38.283097693820295,82.38844200174344,2.1817410782857483,8.897331907411813,2.289276420672973,77.38656537825567
2020-03-08,trn,773.0717143737892,35.71224877528007,15.623727861681603,0.9139264112160542,16.28662321981509,29.21490564099155,65.09025231599335,0.9290167635807477,19.7463021743937,78.92058749834997,2.645634916135328,14.399582002628811,2.6568036560399597,93.7886743901046
2020-03-15,trn,773.0717143737892,63.02509924207134,32.216969044648486,9.513124908824924,35.58261673307085,73.7404866770329,121.05435783295438,9.648652319898536,44.04442745226686,234.7114283212595,4.5214021057782015,12.997494895004479,4.389659984976952,222.48256610842358
2020-03-22,trn,773.0717143737892,75.75905013463733,59.72183834407907,25.079499891616813,38.84740403521861,92.90350521599015,110.67500650526978,25.343393126157682,48.085605439687995,256.2467441919448,5.577454964939289,18.89828397484524,5.2716635744401605,258.5188362273837
2020-03-29,trn,773.0717143737892,54.05758678584818,44.78127986983211,23.08964569568089,35.9022100376106,63.57670422657528,86.32904045047547,23.333159967510525,14.813340806644666,236.8195419980347,5.7471946280764525,16.098108854934264,5.314904048454547,182.06556825653317
2020-04-05,trn,773.0717143737892,46.70834300436583,20.71316550181706,8.918128545969411,19.792852851645154,60.031595612703875,44.462569093548346,9.037971469665807,0.0,136.03084084014122,5.373835664835871,12.345827862583533,4.0947881109442354,91.41836706799032
2020-04-12,trn,773.0717143737892,33.67081810973492,17.842205582863937,5.251368899131507,16.686834428259502,38.095177275391116,26.314444449024542,5.329823401666989,0.0,114.89440741471718,7.626199604833627,14.533242938115963,4.600955124424622,100.082808398047
2020-04-19,trn,773.0717143737892,36.71698036408847,22.740929861092898,7.6482316214119885,16.39092501712851,38.2897135921589,58.477224296500914,7.75798169004476,0.0,143.5178753704558,10.78030241497198,14.882246943339469,5.509518530857763,75.21635592415946
2020-04-26,trn,773.0717143737892,31.95490650647817,20.62359779449138,10.233605665783564,12.271483217243343,13.208359924420437,27.18111521184253,10.365285648047761,0.0,165.77841589141497,11.004953653441442,5.960758191559007,4.960718845716285,47.3850850757719
2020-05-03,trn,773.0717143737892,21.53709382232138,15.77247933331045,3.193731991395364,8.146687731120108,14.537664625346858,24.403326382655184,3.2418734049265456,0.0,92.68915394631401,7.947993444937153,6.747301883323648,3.648619191641664,43.0623598689185
2020-05-10,trn,773.0717143737892,24.530963553439587,12.77935515598479,1.7153497371901558,5.270999950026148,9.270751277975434,18.540900995712747,1.7428048870491144,0.0,73.08081060702713,8.64281467578202,3.951792678008918,4.264367211821625,35.13737489619306
2020-05-17,trn,773.0717143737892,40.63739993395087,13.861360754530216,3.945030492889118,12.131963512381168,12.713262858858112,32.25348362088031,4.005241252486728,9.89635686182004,85.1911650263589,10.011688415109253,4.711522821736614,5.621990614695616,23.947819460514005
2020-05-24,trn,773.0717143737892,29.863476046834904,13.348498457883956,3.86037257641696,11.743022009417743,11.552192793373877,20.757008847860117,3.918304282111337,0.0,72.03211999089713,7.80319015689704,7.016631946557838,5.003779347555737,27.029689170404172
