x_dt,x_geo,base,ac_m_google_n_imp_alpha0_beta0,ac_m_linkedin_l_clk_alpha1_beta0,ac_m_fb_n_imp_adstk_alpha1_beta0,ac_m_trade_desk_l_clk_adstk_alpha0_beta1,ac_m_youtube_n_clk_adstk_alpha0_beta0,ac_web_new_customer_logins,ac_gqv_n_actra_gix,ac_ec_is_bull,ac_ec_tbill_3m,ac_ec_psavert,ac_trend
2020-01-05,zur,724.1772540781145,72.36484329030026,2.276543117257138,0.0,0.0,4.045744125592598,9.51411758331407,44.792591571170384,6.512386390588463,0.0,0.0,0.0
2020-01-12,zur,724.1772540781145,61.157791872860614,0.308342696904205,0.0,95.7549051133065,11.072062488892392,11.855598618261503,88.32977947759962,4.4361797120719775,0.0,0.0,0.7903373462025525
2020-01-19,zur,724.1772540781145,88.60601354496627,7.218280492313957,0.0,207.2051082360636,19.347858682527427,32.39727592724512,127.97305784169728,9.696402388473851,0.0,0.0,2.2900971228096774
2020-01-26,zur,724.1772540781145,56.09894171272502,9.195547002734068,0.0,123.65161655356445,9.249863808818818,18.5735143198213,81.0233168769888,7.028891619982044,0.0,0.0,2.1748866674345186
2020-02-02,zur,724.1772540781145,59.84614110015889,11.148721152764603,0.0,130.72984006906583,10.392914940216322,29.46278785555812,74.08746107985742,4.066316517134888,0.0,0.0,3.0935479446930243
2020-02-09,zur,724.1772540781145,59.0673661188413,7.407930289053332,0.0,142.0274490573979,13.806935446591806,18.025820702784515,109.6850467207749,4.484008966695598,0.0,0.0,3.8166146909446748
2020-02-16,zur,724.1772540781145,51.57315604609481,3.0055691515045693,0.0,137.02787825237428,11.750700054799267,20.490113854463083,95.76868586069081,5.535137017903089,0.0,0.0,3.998855096288876
2020-02-23,zur,724.1772540781145,60.62528735849714,2.909665250508967,0.0,158.7818822686251,11.485744842010932,21.17754021685504,112.57802596103987,6.309165095356508,0.0,0.0,5.484190824989678
2020-03-01,zur,724.1772540781145,69.43984380534299,9.394709223157259,0.0,175.86732289700896,17.158714280455047,20.79139602226451,200.58298059668027,4.266997408297082,0.0,0.0,7.1789252284222105
2020-03-08,zur,724.1772540781145,68.01113304478075,1.6732784648505055,0.0,226.6634099422275,22.795291359916707,22.71326539270753,182.4234529793397,6.556544977154859,0.0,0.0,7.910122828359347
2020-03-15,zur,724.1772540781145,63.06603836989096,11.062142203257265,0.0,264.28136750044945,23.99623311689309,25.600959316020525,338.3188595781208,3.6905103223259426,0.0,0.0,8.14997465971073
2020-03-22,zur,724.1772540781145,71.57915939972936,18.48430157288498,0.0,297.42203501878095,32.517629340375656,24.385702337529136,383.9876453891618,5.578482344731549,0.0,0.0,10.175130472515493
2020-03-29,zur,724.1772540781145,65.62833582705025,17.291421139270216,0.0,271.1134552763745,33.43688747084395,30.98680619586913,352.06434884639725,4.714266927019931,0.0,0.0,10.177318019800724
2020-04-05,zur,724.1772540781145,53.481934118360456,10.706898724046075,0.0,212.79505919987244,26.59758719403657,8.365945488768247,231.73077225536483,4.1428703338840345,0.0,0.0,8.98485690251584
2020-04-12,zur,724.1772540781145,51.14196469056678,2.042022003053241,0.0,159.2295105919323,21.981453361733266,7.999914285876772,179.38397316688958,4.469738129534743,0.0,0.0,9.252650362527055
2020-04-19,zur,724.1772540781145,53.35489335802852,4.238976988553652,0.0,134.88695236543253,16.938982022228224,11.674261699644749,209.1631466287231,4.272503958397304,0.0,0.0,10.342516513145284
2020-04-26,zur,724.1772540781145,54.80635521392735,7.039262578722247,0.0,139.88599015085308,13.337540067016032,14.884617475359848,294.0096456488639,2.08242752017633,0.0,0.0,11.332131657037468
2020-05-03,zur,724.1772540781145,42.649327126052235,4.815792024571709,0.0,101.903254618067,10.171085510527519,13.015463095507714,184.79439223756222,2.6498714649021626,0.0,0.0,9.36961644232401
2020-05-10,zur,724.1772540781145,58.140392505213036,3.5758619818880772,0.0,119.23320212552326,12.779760115329598,6.974423158432501,179.93950769894204,1.916691078066373,0.0,0.0,13.524187156312964
2020-05-17,zur,724.1772540781145,73.1162762742133,5.175087989187009,0.0,138.7789692219996,15.122295850103754,9.96374790765286,211.2026730118248,2.300916979788133,0.0,0.0,17.952642136315124
2020-05-24,zur,724.1772540781145,62.75637407430471,3.758532875584637,0.0,113.10425272345304,15.42686337745706,9.39512932919246,181.27720158114337,3.478407709157868,0.0,0.0,16.219913971482118
2020-05-31,zur,724.1772540781145,69.43394463084104,10.289691909646088,0.0,130.839754240458,17.942400529998178,20.52309600109303,171.91366313323593,5.037117677959433,0.0,0.0,18.84307779865373
2020-06-07,zur,724.1772540781145,62.89701774601062,14.429773313993355,0.0,149.89994188981754,14.85457291380316,16.357603095413083,194.66085317421957,4.954903165069698,0.0,0.0,17.881890965604164
2020-06-14,zur,724.1772540781145,60.037949185483924,18.044366268578322,0.0,186.65450794732902,14.456199271647126,10.716651662817283,272.52468056738286,4.660221449652558,0.0,0.0,17.844911261264368
2020-06-21,zur,724.1772540781145,61.204876455051284,16.002620283767666,0.0,222.37836397231374,17.59705611786153,11.9821986237389,202.05207638131478,2.1976790412897778,0.0,0.0,18.982699597539597
2020-06-28,zur,724.1772540781145,70.44227681928179,30.55075511929016,0.0,237.2144611325486,20.874433026482603,13.249813868795457,188.94440950776118,2.4614019731317196,0.0,0.0,22.758000418635934
2020-07-05,zur,724.1772540781145,83.18764322414023,22.538066550220396,0.0,232.55889346446352,19.668963755016982,4.869775909558424,171.63906105432505,2.2112998195867846,0.0,0.0,27.950712058105896
