x_dt,x_geo,base,ac_m_google_n_imp,ac_m_trade_desk_l_clk,ac_m_fb_n_clk_alpha0_beta1,ac_m_youtube_n_clk_alpha0_beta1,ac_m_linkedin_l_clk_alpha0_beta1,ac_branch_prospect_visits,ac_gqv_n_actra_gix,ac_trend,ac_gqv_n_retire_gix
2020-01-05,abd,641.2376046066031,73.22674486715263,1.287104292269319,0.0,85.18335962319603,1.924530101834544,29.15725826778033,92.47699730902698,0.0,228.94615910696982
2020-01-12,abd,641.2376046066031,36.35986154088303,8.541942922466985,0.0,61.81209919281742,0.0,120.4023955523506,148.50726466089145,1.0687892527552723,165.2552078002959
2020-01-19,abd,641.2376046066031,174.29086653523026,19.122249618750384,0.0,33.84141674725323,0.9995923549986898,150.77658508349666,123.98102281901598,1.7845535709939608,125.12924437476082
2020-01-26,abd,641.2376046066031,62.18834490157798,19.02814215029469,0.0,45.56131392033224,2.07280641743995,211.00431413255967,156.15473452859626,3.371481571870204,149.51882672879444
2020-02-02,abd,641.2376046066031,128.47231044538043,15.809130523678878,0.0,72.18497321838568,4.33871619056321,87.34882624708206,110.81641621598206,3.721819107218426,133.8288919138749
2020-02-09,abd,641.2376046066031,88.13933603999233,34.28504067216746,0.0,50.11528227356697,1.8622044327683456,172.2899018281639,182.14850245758456,5.097949382912879,131.9844103250541
2020-02-16,abd,641.2376046066031,67.29507837650179,21.063270265033125,0.0,34.887235622076695,0.7413859887822825,115.17515025896935,156.5557555330703,5.257995360113112,116.59107137777701
2020-02-23,abd,641.2376046066031,78.14315153314884,12.834090779292227,0.0,46.09343960855125,1.2908399200065368,150.75173651835837,179.30013949234237,7.0255216617641,126.31159011560707
2020-03-01,abd,641.2376046066031,107.51806017139172,23.92051636366108,0.0,88.3442382159221,2.5175576697386064,104.63898651219124,258.12857946097654,7.430883659108387,120.2396204183562
2020-03-08,abd,641.2376046066031,64.93210018907227,43.71449643301772,0.0,78.55679813546118,1.0703556535244567,206.64399247841857,258.18989011662967,9.004939700052159,86.34638543443623
