Year,base,ac_m_trade_desk_l_clk,ac_m_fb_n_clk_alpha0_beta1,ac_m_youtube_n_clk_alpha0_beta1,ac_m_linkedin_l_clk_alpha0_beta1,ac_branch_prospect_visits,ac_gqv_n_actra_gix,ac_trend,ac_gqv_n_retire_gix
2020,33344.35543954336,2115.143491605135,0.0,3879.975209362165,196.8899067807136,2523.580067855989,13758.109715332757,1428.1298757927023,3784.5383883200884
2021,33344.35543954336,1876.7230653523745,0.0,3938.2037817151195,300.43096236439845,4637.819864749785,12041.456204862172,4610.397268290026,5082.504941528695
2022,33344.35543954336,848.8039129066061,0.0,3001.580410976689,361.0646771177752,3899.9971210140147,8209.721930314969,7205.807215359786,4541.7547665194
